date,code,company,businessViews,secondaryTags,fallbackFlags,readDecision,score,evidenceLevel,numbers,businessAction,followTarget,title,url,announcementId,hasText,textChars,evidenceSnippet
2026-07-04,601369,陕鼓动力,资本运作、资金与财务,并购重组、关联资金,数字异常事项、关联交易/复杂交易,必须精读,91,PDF正文数字已核验,36.06%,跟踪审批节点、交易作价、资金用途、募投变化和投行协同机会。,董秘办 / 财务负责人 / 投融资负责人,西安陕鼓动力股份有限公司关于筹划发行股份购买资产暨关联交易事项的停牌进展公告,https://static.cninfo.com.cn/finalpage/2026-07-04/1225407847.PDF,1225407847,是,860,9证券简称：陕鼓动力公告编号：临2026-027西安陕鼓动力股份有限公司关于筹划发行股份购买资产暨关联交易事项的停牌进展公告本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法 / ：陕鼓动力公告编号：临2026-027西安陕鼓动力股份有限公司关于筹划发行股份购买资产暨关联交易事项的停牌进展公告本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。西
2026-07-03,301171,易点天下,资金与财务,担保,数字异常事项、关联交易/复杂交易,必须精读,77,PDF正文数字已核验,70%、100%、31日、28.81%,跟踪现金管理、融资安排、担保敞口、授信和资金沉淀机会。,财务负责人 / 资金部 / 董秘办,关于为全资孙公司提供担保的进展公告,https://static.cninfo.com.cn/finalpage/2026-07-03/1225408012.PDF,1225408012,是,1858,简称：易点天下公告编号：2026-061易点天下网络科技股份有限公司关于为全资孙公司提供担保的进展公告本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。一、对外担保及进展情况概述1、近期，为满足易
2026-07-03,002799,环球印务,资金与财务,担保,数字异常事项、关联交易/复杂交易,必须精读,77,PDF正文数字已核验,70%、100%、4.00%,跟踪现金管理、融资安排、担保敞口、授信和资金沉淀机会。,财务负责人 / 资金部 / 董秘办,关于公司为子公司提供担保的进展公告,https://static.cninfo.com.cn/finalpage/2026-07-03/1225405749.PDF,1225405749,是,2647,证券简称：环球印务公告编号：2026-028西安环球印务股份有限公司关于公司为子公司提供担保的进展公告本公司及董事会全体成员保证信息披露的内容真实、准确和完整，没有虚假记载、误导性陈述或重大遗漏。特别提示：西安环球印务股份有限公司（以下简称
2026-07-03,601012,隆基绿能,资金与财务,担保,数字异常事项、关联交易/复杂交易,必须精读,77,PDF正文数字已核验,44.22%、50%、100%、30%、70%、53.29%、63.88%,跟踪现金管理、融资安排、担保敞口、授信和资金沉淀机会。,财务负责人 / 资金部 / 董秘办,关于提供担保的进展公告,https://static.cninfo.com.cn/finalpage/2026-07-03/1225407027.PDF,1225407027,是,4187,GK隆基01债券代码:244386债券简称:GK隆基02隆基绿能科技股份有限公司关于提供担保的进展公告本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。重要内容提
2026-07-04,600080,金花股份,风险沟通,异常波动,数字异常事项、关联交易/复杂交易,必须精读,67,PDF正文数字已核验,12%,跟踪监管进展、交易风险、诉讼债务、非标意见和客户风险沟通。,董秘办 / 合规风控 / 控股股东 / 财务负责人,金花企业（集团）股份有限公司关于股票交易异常波动的公告,https://static.cninfo.com.cn/finalpage/2026-07-04/1225408836.PDF,1225408836,是,1555,080股票简称：ST金花编号：临2026-034金花企业（集团）股份有限公司关于股票交易异常波动的公告本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述或者重大遗漏，并对其内容的真实性、准确性和完整性承担个别及连带责任。重要内容
2026-07-04,688281,华秦科技,未归类,,未覆盖高价值事项、数字异常事项、关联交易/复杂交易,必须精读,63,PDF正文数字已核验,100%、4日,保留底稿，结合公告原文判断是否进入正式早报。,董秘办,关于自愿披露公司签订日常经营销售框架合同的公告,https://static.cninfo.com.cn/finalpage/2026-07-04/1225409458.PDF,1225409458,是,2842,采购数量的承诺。3、关于产品价格的约定：本次框架合同为暂定价格，按本次框架合同含税单价的100%付款，最终以审价意见、审计计价意见或某客户组织审核价格谈判结果执行，多退少补。4、合同生效条件：《合同一》与《合同二》的生效条件均以最后一方签署的日 / 导致的差价额调整批价当期收入。特此公告。陕西华秦科技实业股份有限公司董事会2026年7月4日
2026-07-04,000697,ST炼石,未归类,,未覆盖高价值事项、数字异常事项、低价值固定披露,必须精读,41,PDF正文数字已核验,53.7158%、41.2907%、12.4251%、5.1663%、0.0000%、99.3449%、0.6310%、0.0240%,保留底稿，结合公告原文判断是否进入正式早报。,董秘办,2026年第三次临时股东会决议公告,https://static.cninfo.com.cn/finalpage/2026-07-04/1225408706.PDF,1225408706,是,1862,"现场和网络投票的股东244人，代表股份749,920,469股，占公司有表决权股份总数的53.7158%。其中：通过现场投票的股东3人，代表股份576,454,850股，占公司有表决权股份总数的41.2907%。通过网络投票的股东241人，代表股份17 / 其中：通过现场投票的股东3人，代表股份576,454,850股，占公司有表决权股份总数的41.2907%。通过网络投票的股东241人，代表股份173,465,619股，占公司有表决权股份总数的12.4251%。22、中小股东出席会议的总体情况通过现场和"
2026-07-04,000697,ST炼石,未归类,,未覆盖高价值事项、长文档待精读、数字异常事项、低价值固定披露,必须精读,41,PDF正文数字已核验,"18日、3日、29日、244名、749,920,469股、53.7158%、3名、576,454,850股",保留底稿，结合公告原文判断是否进入正式早报。,董秘办,北京中伦（成都）律师事务所关于炼石航空2026年第三次临时股东会法律意见书,https://static.cninfo.com.cn/finalpage/2026-07-04/1225408707.PDF,1225408707,是,3514,026年第三次临时股东会的通知》，本次股东会由公司董事会召集。公司董事会于2026年6月18日以公告形式刊登了关于召开本次股东会的通知。法律意见书3本次股东会采取现场投票与网络投票相结合的方式。本次股东会现场会议于2026年7月3日14:30 / 意见书3本次股东会采取现场投票与网络投票相结合的方式。本次股东会现场会议于2026年7月3日14:30在四川省成都市双流区西航港大道2999号公司会议室召开，由董事长李铁军先生主持，并通过深圳证券交易所交易系统和深圳证券交易所互联网投票系统
2026-07-03,000721,西安饮食,未归类,,未覆盖高价值事项、数字异常事项、低价值固定披露,必须精读,41,PDF正文数字已核验,42.4287%、41.7214%、0.7072%、5%、1.1369%、99.3779%、0.6035%、0.0186%,保留底稿，结合公告原文判断是否进入正式早报。,董秘办,公司2026年第二次临时股东会决议公告,https://static.cninfo.com.cn/finalpage/2026-07-03/1225406967.PDF,1225406967,是,2025,"422人，代表股份数量为243,504,156股，占本公司有表决权第2页共3页股份总数的42.4287%。其中，出席本次股东会现场会议投票具有表决权的股东及股东代理人共2人，代表股份为239,445,287股，占本公司有表决权股份总数的41.7214% / 的股东及股东代理人共2人，代表股份为239,445,287股，占本公司有表决权股份总数的41.7214%；参加本次股东会通过网络投票具有表决权的股东共420人，代表股份4,058,869股，占公司有表决权股份总数的0.7072%；参加本次股东会的中小股"
2026-07-03,000721,西安饮食,未归类,,未覆盖高价值事项、长文档待精读、数字异常事项、低价值固定披露,必须精读,31,PDF正文数字已核验,5%,保留底稿，结合公告原文判断是否进入正式早报。,董秘办,关于西安饮食股份有限公司2026年第二次临时股东会的法律意见书,https://static.cninfo.com.cn/finalpage/2026-07-03/1225406968.PDF,1225406968,是,6536,1.1369】%。（注：中小投资者，是指除以下股东之外的公司其他股东：单独或合计持有公司5%以上股份的股东；公司董事、高级管理人员）。（三）列席现场会议的人员列席现场会议的人员包括：(1)截止2026年6月29日下午收市后在中国证券登记结算
